Task1,2024-10-10,,3
Task2,2024-10-12,Task1,4
Task3,2024-10-11,,2
Task4,2024-10-15,Task2,5
Task5,2024-10-14,Task3,3
Task6,2024-10-16,Task4,6
Task7,2024-10-13,Task2,2
Task8,2024-10-17,,4
Task9,2024-10-18,Task6,1
Task10,2024-10-19,Task5,2
Task11,2024-10-20,Task8,3
Task12,2024-10-21,Task9,1
Task13,2024-10-22,Task10,2
Task14,2024-10-23,Task1,4
Task15,2024-10-24,Task3,5
Task16,2024-10-25,Task4,3
Task17,2024-10-26,Task6,2
Task18,2024-10-27,Task5,1
Task19,2024-10-28,Task14,3
Task20,2024-10-29,Task19,4
Task21,2024-10-30,Task18,2
Task22,2024-10-31,Task17,5
Task23,2024-11-01,Task20,1
Task24,2024-11-02,,6
Task25,2024-11-03,Task22,3
Task26,2024-11-04,Task21,2
Task27,2024-11-05,Task23,4
Task28,2024-11-06,,1
Task29,2024-11-07,Task26,3
Task30,2024-11-08,Task24,5
Task31,2024-11-09,Task27,2
Task32,2024-11-10,Task28,4
Task33,2024-11-11,Task29,3
Task34,2024-11-12,Task30,6
Task35,2024-11-13,Task31,1
Task36,2024-11-14,,5
Task37,2024-11-15,Task35,2
Task38,2024-11-16,Task36,4
Task39,2024-11-17,Task32,3
Task40,2024-11-18,Task34,5
Task41,2024-11-19,,2
Task42,2024-11-20,Task39,4
Task43,2024-11-21,Task41,2
Task44,2024-11-22,Task38,3
Task45,2024-11-23,Task42,1
Task46,2024-11-24,,6
Task47,2024-11-25,Task43,5
Task48,2024-11-26,Task44,2
Task49,2024-11-27,Task45,3
Task50,2024-11-28,Task46,1
Task51,2024-11-29,,4
Task52,2024-11-30,Task47,2
Task53,2024-12-01,Task48,3
Task54,2024-12-02,Task49,4
Task55,2024-12-03,Task50,1
Task56,2024-12-04,,5
Task57,2024-12-05,Task51,2
Task58,2024-12-06,Task52,3
Task59,2024-12-07,Task53,4
Task60,2024-12-08,Task54,2
Task61,2024-12-09,,1
Task62,2024-12-10,Task55,3
Task63,2024-12-11,Task56,5
Task64,2024-12-12,Task57,2
Task65,2024-12-13,Task58,4
Task66,2024-12-14,,3
Task67,2024-12-15,Task59,1
Task68,2024-12-16,Task60,2
Task69,2024-12-17,Task61,4
Task70,2024-12-18,Task62,3
Task71,2024-12-19,,5
Task72,2024-12-20,Task63,2
Task73,2024-12-21,Task64,3
Task74,2024-12-22,Task65,1
Task75,2024-12-23,Task66,6
Task76,2024-12-24,,4
Task77,2024-12-25,Task67,2
Task78,2024-12-26,Task68,3
Task79,2024-12-27,Task69,5
Task80,2024-12-28,Task70,2
Task81,2024-12-29,,1
Task82,2024-12-30,Task71,3
Task83,2024-12-31,Task72,4
Task84,2025-01-01,Task73,2
Task85,2025-01-02,Task74,5
Task86,2025-01-03,,3
Task87,2025-01-04,Task75,1
Task88,2025-01-05,Task76,2
Task89,2025-01-06,Task77,3
Task90,2025-01-07,Task78,4
Task91,2025-01-08,,2
Task92,2025-01-09,Task79,5
Task93,2025-01-10,Task80,1
Task94,2025-01-11,Task81,3
Task95,2025-01-12,Task82,2
Task96,2025-01-13,,6
Task97,2025-01-14,Task83,4
Task98,2025-01-15,Task84,2
Task99,2025-01-16,Task85,3
Task100,2025-01-17,Task86,5

